1500
'011084',1945,1,50.9,38.3 
'011084',1945,2,59,47.6 
'011084',1945,3,67.7,55.8 
'011084',1945,4,69.4,56.4 
'011084',1945,5,71.9,58.6 
'011084',1945,6,80.7,67.4 
'011084',1945,7,81.2,70.7 
'011084',1945,8,81.3,69.5 
'011084',1945,9,79.2,67.5 
'011084',1945,10,65.9,51.8 
'011084',1945,11,58.8,43 
'011084',1945,12,46,33.2 
'011084',1946,1,52.1,40.6 
'011084',1946,2,54.8,40.3 
'011084',1946,3,62.4,49.4 
'011084',1946,4,68.9,55 
'011084',1946,5,73.6,62.4 
'011084',1946,6,78,66.6 
'011084',1946,7,80.9,71.5 
'011084',1946,8,80.4,69.3 
'011084',1946,9,75.3,64.9 
'011084',1946,10,67,52.1 
'011084',1946,11,63.2,51.6 
'011084',1946,12,55.7,39.9 
'011084',1947,1,57.1,46.6 
'011084',1947,2,47.1,31.6 
'011084',1947,3,55.1,41.8 
'011084',1947,4,68.9,55.6 
'011084',1947,5,73,60.5 
'011084',1947,6,79.1,67 
'011084',1947,7,79.4,66.3 
'011084',1947,8,81.8,69.3 
'011084',1947,9,77.2,65.2 
'011084',1947,10,71.7,59 
'011084',1947,11,56.6,45.4 
'011084',1947,12,52,39.2 
'011084',1948,1,44.7,31 
'011084',1948,2,57.6,45.5 
'011084',1948,3,64.3,53.1 
'011084',1948,4,70.2,56.3 
'011084',1948,5,74.3,58.6 
'011084',1948,6,80.8,66.9 
'011084',1948,7,82.6,70.6 
'011084',1948,8,81,68.5 
'011084',1948,9,75.3,64.1 
'011084',1948,10,64.9,49.1 
'011084',1948,11,62,49.9 
'011084',1948,12,58,46.7 
'011084',1949,1,60.4,48.8 
'011084',1949,2,62,50.8 
'011084',1949,3,60.3,47.1 
'011084',1949,4,66.7,54.2 
'011084',1949,5,75.8,62.3 
'011084',1949,6,79.9,68.6 
'011084',1949,7,82.1,72.1 
'011084',1949,8,81.2,69.6 
'011084',1949,9,76.5,65.3 
'011084',1949,10,73.2,61.5 
'011084',1949,11,56.2,39.8 
'011084',1949,12,55.2,41.6 
'011084',1950,1,66.2,55 
'011084',1950,2,59,44.2 
'011084',1950,3,57.6,44.3 
'011084',1950,4,62.8,49.4 
'011084',1950,5,76.3,63.5 
'011084',1950,6,80.7,68.2 
'011084',1950,7,79.8,69.7 
'011084',1950,8,81.4,69.2 
'011084',1950,9,76.7,65.6 
'011084',1950,10,68.9,54.5 
'011084',1950,11,53.4,35.9 
'011084',1950,12,48.3,36.4 
'011084',1951,1,52.9,38.4 
'011084',1951,2,55.4,41.1 
'011084',1951,3,62.7,50.1 
'011084',1951,4,66.1,52.2 
'011084',1951,5,72.5,57.3 
